iter	Passed	Remaining
0	12	11648
1	23	10735
2	34	10418
3	45	10352
4	57	10403
5	69	10346
6	80	10373
7	92	10364
8	104	10366
9	115	10369
10	127	10380
11	139	10376
12	151	10412
13	163	10388
14	175	10430
15	188	10472
16	200	10460
17	212	10477
18	224	10484
19	236	10466
20	249	10482
21	261	10485
22	273	10477
23	285	10471
24	297	10477
25	310	10481
26	322	10479
27	334	10476
28	347	10484
29	359	10480
30	372	10489
31	384	10479
32	396	10471
33	411	10552
34	425	10572
35	437	10554
36	449	10550
37	461	10538
38	474	10533
39	486	10528
40	498	10514
41	511	10505
42	523	10490
43	535	10484
44	548	10476
45	560	10465
46	572	10458
47	585	10455
48	597	10445
49	610	10444
50	622	10431
51	635	10421
52	647	10410
53	660	10402
54	672	10390
55	684	10377
56	696	10367
57	709	10354
58	721	10339
59	733	10330
60	745	10309
61	757	10293
62	769	10285
63	782	10282
64	794	10268
65	806	10256
66	819	10245
67	831	10235
68	843	10222
69	856	10212
70	868	10202
71	880	10188
72	892	10176
73	904	10162
74	917	10157
75	929	10140
76	941	10127
77	953	10114
78	966	10108
79	979	10096
80	991	10082
81	1003	10068
82	1015	10056
83	1026	10035
84	1039	10024
85	1051	10010
86	1063	9998
87	1075	9984
88	1088	9976
89	1100	9968
90	1113	9957
91	1125	9948
92	1138	9939
93	1150	9923
94	1162	9911
95	1174	9899
96	1188	9898
97	1202	9900
98	1218	9921
99	1232	9925
100	1246	9920
101	1290	10158
102	1370	10672
103	1390	10709
104	1411	10754
105	1430	10782
106	1449	10812
107	1467	10831
108	1487	10861
109	1506	10885
110	1523	10897
111	1540	10908
112	1561	10942
113	1580	10968
114	1598	10982
115	1616	10997
116	1632	10994
117	1645	10974
118	1658	10954
119	1671	10935
120	1684	10912
121	1697	10891
122	1709	10871
123	1722	10850
124	1736	10832
125	1749	10813
126	1762	10799
127	1776	10784
128	1790	10773
129	1804	10760
130	1819	10752
131	1836	10753
132	1851	10744
133	1867	10746
134	1883	10744
135	1901	10754
136	1915	10740
137	1931	10732
138	1946	10725
139	1960	10713
140	1976	10711
141	1993	10711
142	2006	10693
143	2019	10671
144	2032	10652
145	2044	10627
146	2056	10605
147	2069	10583
148	2081	10561
149	2094	10542
150	2106	10520
151	2119	10501
152	2133	10486
153	2147	10472
154	2160	10455
155	2174	10438
156	2186	10416
157	2198	10395
158	2211	10374
159	2223	10353
160	2236	10333
161	2248	10313
162	2265	10313
163	2279	10297
164	2291	10276
165	2303	10254
166	2316	10236
167	2329	10218
168	2341	10199
169	2354	10178
170	2366	10159
171	2379	10141
172	2392	10122
173	2404	10103
174	2417	10083
175	2432	10075
176	2444	10054
177	2457	10035
178	2469	10016
179	2482	9998
180	2495	9980
181	2507	9962
182	2519	9942
183	2532	9922
184	2544	9904
185	2556	9883
186	2569	9865
187	2582	9848
188	2594	9830
189	2607	9811
190	2618	9789
191	2631	9770
192	2643	9753
193	2655	9733
194	2667	9712
195	2680	9696
196	2692	9678
197	2705	9660
198	2718	9643
199	2730	9625
200	2741	9602
201	2755	9588
202	2768	9572
203	2780	9556
204	2793	9537
205	2805	9518
206	2817	9500
207	2830	9483
208	2842	9464
209	2854	9446
210	2866	9429
211	2879	9412
