number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_type,params_od_wait,params_random_strength,state
0,0.8450755287009063,2025-08-01 09:08:58.496910,2025-08-01 09:09:00.188848,0 days 00:00:01.691938,0.923385947687978,Bayesian,4,475,1.0551779964424746e-05,0.027583475549166746,Iter,26,2.0931628460945333e-07,COMPLETE
1,0.8561933534743202,2025-08-01 09:09:00.189436,2025-08-01 09:09:03.388901,0 days 00:00:03.199465,0.27387593197926163,Bayesian,8,585,1.10795595820296e-06,0.006892694481137703,IncToDec,32,0.79993910451721,COMPLETE
2,0.8322658610271904,2025-08-01 09:09:03.389886,2025-08-01 09:09:05.272946,0 days 00:00:01.883060,6.923226156693141,Bayesian,9,226,48.152158203957725,0.002490020818620744,Iter,13,6.6193844201488376e-06,COMPLETE
3,0.8279154078549849,2025-08-01 09:09:05.273463,2025-08-01 09:09:06.876398,0 days 00:00:01.602935,9.57889530150502,Bayesian,10,135,9.62649829692002e-08,0.002186053765545967,Iter,22,6.165504584878686e-05,COMPLETE
4,0.8348036253776435,2025-08-01 09:09:06.876847,2025-08-01 09:09:08.994374,0 days 00:00:02.117527,7.481656543798394,Bayesian,4,718,0.3172803306450888,0.0466929533152365,Iter,14,7.938707489172773,COMPLETE
5,0.841570996978852,2025-08-01 09:09:08.994832,2025-08-01 09:09:11.118026,0 days 00:00:02.123194,0.19366957870297075,Bayesian,6,503,7.546635702360232e-06,0.06564339077069614,IncToDec,20,1.4799844388224315e-07,COMPLETE
6,0.8285196374622357,2025-08-01 09:09:11.122355,2025-08-01 09:09:14.060670,0 days 00:00:02.938315,6.997583600209312,Bayesian,8,542,2.9328222947799687e-07,0.001278571708054608,Iter,38,0.0020125646126523404,COMPLETE
7,0.8018126888217523,2025-08-01 09:09:14.061121,2025-08-01 09:09:16.387213,0 days 00:00:02.326092,9.445947559908133,Bayesian,7,473,0.043445665307147247,0.0012586556158866136,Iter,15,0.00043052860159544323,COMPLETE
8,0.8501510574018127,2025-08-01 09:09:16.387723,2025-08-01 09:09:17.259629,0 days 00:00:00.871906,3.477658597455066,Bayesian,6,225,4.503415011735204e-07,0.04118912607048067,IncToDec,46,2.2262668706347197,COMPLETE
9,0.8472507552870091,2025-08-01 09:09:17.260304,2025-08-01 09:09:20.217199,0 days 00:00:02.956895,4.280911898712949,Bayesian,6,661,5.003557761128302e-06,0.03176031989459053,IncToDec,35,1.1560482583788436,COMPLETE
10,0.8542598187311178,2025-08-01 09:09:20.220068,2025-08-01 09:09:32.431140,0 days 00:00:12.211072,2.470574673338552,Bayesian,10,982,0.0032196265172219057,0.008013259505912921,IncToDec,50,0.01727041042494132,COMPLETE
11,0.8525679758308157,2025-08-01 09:09:32.435248,2025-08-01 09:09:42.995341,0 days 00:00:10.560093,2.2306062191998945,Bayesian,10,912,0.001105038492142041,0.007515516670796351,IncToDec,50,0.03777608266952443,COMPLETE
12,0.8532930513595166,2025-08-01 09:09:42.997736,2025-08-01 09:09:48.279767,0 days 00:00:05.282031,2.43641048326954,Bayesian,8,929,0.0006752127750254305,0.0087035551919287,IncToDec,42,0.06213937973686316,COMPLETE
13,0.8560725075528701,2025-08-01 09:09:48.281247,2025-08-01 09:09:54.237385,0 days 00:00:05.956138,1.806515469168879,Bayesian,9,829,0.00037265683734114474,0.014702094031740737,IncToDec,32,0.02169603329004366,COMPLETE
14,0.8596978851963746,2025-08-01 09:09:54.237951,2025-08-01 09:09:58.598586,0 days 00:00:04.360635,0.023627812687380345,Bayesian,8,782,1.6558173263853176e-08,0.016240503351995193,IncToDec,32,0.20114681966801798,COMPLETE
15,0.8574018126888218,2025-08-01 09:09:58.600750,2025-08-01 09:10:02.495729,0 days 00:00:03.894979,0.31592390137076976,Bayesian,8,677,2.7929141000296078e-08,0.004102109931659536,IncToDec,30,0.35958909616694923,COMPLETE
16,0.8391540785498489,2025-08-01 09:10:02.498909,2025-08-01 09:10:05.952713,0 days 00:00:03.453804,5.308643825440758,Bayesian,7,769,1.6929085896514613e-08,0.004102928083612987,IncToDec,27,0.21400122847540878,COMPLETE
17,0.8555891238670695,2025-08-01 09:10:05.953123,2025-08-01 09:10:08.760962,0 days 00:00:02.807839,1.036186102598824,Bayesian,9,389,1.2184854431821032e-08,0.017069282821528073,IncToDec,39,0.0014269229191519346,COMPLETE
18,0.8534138972809667,2025-08-01 09:10:08.761380,2025-08-01 09:10:12.429969,0 days 00:00:03.668589,3.466852909347127,Bayesian,8,666,3.680020408616411e-05,0.004022549934148223,IncToDec,27,5.343871924877367e-06,COMPLETE
19,0.8316616314199395,2025-08-01 09:10:12.430961,2025-08-01 09:10:15.169426,0 days 00:00:02.738465,5.301783184812292,Bayesian,5,831,1.0054971927169823e-08,0.09650131846945785,IncToDec,20,0.0026098485522466092,COMPLETE
20,0.8581268882175227,2025-08-01 09:10:15.169860,2025-08-01 09:10:17.165848,0 days 00:00:01.995988,1.3821998539149618,Bayesian,7,364,5.293837630646663,0.01864420789744135,IncToDec,34,1.1589663494447903e-08,COMPLETE
21,0.8569184290030212,2025-08-01 09:10:17.166567,2025-08-01 09:10:18.661033,0 days 00:00:01.494466,0.029223965806436825,Bayesian,7,339,94.04714106425212,0.01659434446045263,IncToDec,37,2.7103696619905137e-08,COMPLETE
22,0.8561933534743202,2025-08-01 09:10:18.661465,2025-08-01 09:10:21.981600,0 days 00:00:03.320135,1.205471449849326,Bayesian,8,606,3.0379785460439055,0.012564037408249578,IncToDec,30,6.629953589597337e-05,COMPLETE
23,0.8410876132930514,2025-08-01 09:10:21.988183,2025-08-01 09:10:23.528505,0 days 00:00:01.540322,1.6846051064973775,Bayesian,7,359,0.10165425410906638,0.02316411537748837,IncToDec,42,9.145159994025807,COMPLETE
24,0.8507552870090634,2025-08-01 09:10:23.528948,2025-08-01 09:10:29.214367,0 days 00:00:05.685419,3.3034543412080404,Bayesian,9,769,8.071917904799597e-08,0.004123481129991741,IncToDec,34,1.0457775226467394e-08,COMPLETE
25,0.8542598187311178,2025-08-01 09:10:29.218811,2025-08-01 09:10:31.301995,0 days 00:00:02.083184,0.6570791790627355,Bayesian,7,431,4.238828188871717,0.005578342384442355,IncToDec,24,0.2404037082298849,COMPLETE
26,0.8532930513595166,2025-08-01 09:10:31.302419,2025-08-01 09:10:32.371304,0 days 00:00:01.068885,1.3992029541440254,Bayesian,6,270,7.927941401228108e-05,0.010488410009138494,IncToDec,28,5.5501732451494785e-06,COMPLETE
27,0.8471299093655589,2025-08-01 09:10:32.371878,2025-08-01 09:10:34.836657,0 days 00:00:02.464779,2.721316842816734,Bayesian,5,622,0.007938613475917726,0.020494942910841585,IncToDec,31,0.0071872402496155376,COMPLETE
28,0.8442296072507552,2025-08-01 09:10:34.838624,2025-08-01 09:10:39.052113,0 days 00:00:04.213489,4.469269085578176,Bayesian,8,722,1.1222207491651686,0.002607231673786782,IncToDec,41,0.11421674362183955,COMPLETE
29,0.8529305135951661,2025-08-01 09:10:39.052894,2025-08-01 09:10:42.882107,0 days 00:00:03.829213,0.6741134330120632,Bayesian,9,533,3.196855220377483e-06,0.03157558007847945,Iter,35,0.00014055272669778157,COMPLETE
30,0.8501510574018127,2025-08-01 09:10:42.882906,2025-08-01 09:10:46.807354,0 days 00:00:03.924448,1.531476041282458,Bayesian,7,865,5.886812191624434e-05,0.011212558989891512,IncToDec,24,7.76825362959605e-07,COMPLETE
31,0.8589728096676738,2025-08-01 09:10:46.808782,2025-08-01 09:10:48.596607,0 days 00:00:01.787825,0.11904747548320548,Bayesian,7,364,98.81526854763857,0.017907315058010992,IncToDec,36,4.2215494977037645e-08,COMPLETE
32,0.8561933534743202,2025-08-01 09:10:48.598474,2025-08-01 09:10:50.169952,0 days 00:00:01.571478,0.1019541747940787,Bayesian,8,287,3.1300804270785796,0.005831849458636556,IncToDec,30,2.2777155828016472e-07,COMPLETE
33,0.8563141993957704,2025-08-01 09:10:50.170406,2025-08-01 09:10:52.055465,0 days 00:00:01.885059,0.8597356210250107,Bayesian,7,407,37.44723487707392,0.02373906902160916,IncToDec,33,4.917470857900292e-08,COMPLETE
34,0.8570392749244713,2025-08-01 09:10:52.055884,2025-08-01 09:10:52.653908,0 days 00:00:00.598024,0.6212300006247252,Bayesian,8,107,14.599560270357886,0.018596256091364425,IncToDec,36,1.284919492781217e-06,COMPLETE
35,0.854380664652568,2025-08-01 09:10:52.654316,2025-08-01 09:10:54.455147,0 days 00:00:01.800831,1.9321341499715763,Bayesian,6,458,1.2783175022410233e-06,0.013251554734872722,Iter,29,1.9998212782834796e-05,COMPLETE
36,0.8473716012084592,2025-08-01 09:10:54.455921,2025-08-01 09:10:55.519506,0 days 00:00:01.063585,0.03585606329039254,Bayesian,5,315,6.540470016471244e-08,0.04210153270587446,IncToDec,39,1.044261921394642e-07,COMPLETE
37,0.8494259818731118,2025-08-01 09:10:55.519930,2025-08-01 09:10:59.688141,0 days 00:00:04.168211,0.6521887210263969,Bayesian,9,583,13.715466520095811,0.001979372656735113,Iter,24,0.6852239626292116,COMPLETE
38,0.8508761329305136,2025-08-01 09:10:59.688565,2025-08-01 09:11:00.999878,0 days 00:00:01.311313,3.0170900165878445,Bayesian,8,239,0.26543217748524284,0.026652313069802445,IncToDec,32,1.2584532994109119e-08,COMPLETE
39,0.8471299093655589,2025-08-01 09:11:01.000315,2025-08-01 09:11:01.840837,0 days 00:00:00.840522,1.2860402208761204,Bayesian,7,176,2.5108052710065335e-07,0.00541247919451744,Iter,45,5.554370270605157e-07,COMPLETE
40,0.8443504531722055,2025-08-01 09:11:01.841279,2025-08-01 09:11:04.010051,0 days 00:00:02.168772,8.435193251704,Bayesian,6,510,4.00063761257025e-08,0.05091493852624813,IncToDec,17,2.9455779409396823,COMPLETE
41,0.856797583081571,2025-08-01 09:11:04.011697,2025-08-01 09:11:04.622279,0 days 00:00:00.610582,0.5078054344787353,Bayesian,8,110,18.03236907226703,0.018067450525118135,IncToDec,36,1.621882238342256e-06,COMPLETE
42,0.8537764350453172,2025-08-01 09:11:04.622709,2025-08-01 09:11:05.669547,0 days 00:00:01.046838,1.0208510258139651,Bayesian,8,190,7.473400630376973,0.009540396122397857,IncToDec,34,3.6091241449366837e-08,COMPLETE
43,0.8435045317220544,2025-08-01 09:11:05.669970,2025-08-01 09:11:08.838361,0 days 00:00:03.168391,6.130006354928239,Bayesian,7,699,72.32151530298462,0.02963550161380872,IncToDec,37,1.9515889799677403e-07,COMPLETE
44,0.8633232628398791,2025-08-01 09:11:08.838823,2025-08-01 09:11:09.730606,0 days 00:00:00.891783,0.5829113245739789,Bayesian,8,162,0.8679838253640907,0.020659576807258582,IncToDec,40,1.5305950013403581e-06,COMPLETE
45,0.8547432024169185,2025-08-01 09:11:09.731371,2025-08-01 09:11:14.459536,0 days 00:00:04.728165,2.14364349444827,Bayesian,8,766,0.7802512685656602,0.014160968116702546,IncToDec,44,8.219375048534506e-08,COMPLETE
46,0.8565558912386707,2025-08-01 09:11:14.461588,2025-08-01 09:11:18.902528,0 days 00:00:04.440940,0.3304286030934437,Bayesian,9,567,0.04388366372232015,0.03651398145959122,IncToDec,40,0.00043248442883975853,COMPLETE
47,0.8465256797583082,2025-08-01 09:11:18.903277,2025-08-01 09:11:22.588327,0 days 00:00:03.685050,3.9245759856228895,Bayesian,7,648,0.8919252993362463,0.0609745110649963,Iter,43,1.7491871824605197e-05,COMPLETE
48,0.8554682779456193,2025-08-01 09:11:22.590156,2025-08-01 09:11:23.602298,0 days 00:00:01.012142,1.6123358426942924,Bayesian,7,214,0.013573921585502436,0.022304244124082297,IncToDec,11,4.07725520992751e-07,COMPLETE
49,0.8577643504531722,2025-08-01 09:11:23.603103,2025-08-01 09:11:29.238738,0 days 00:00:05.635635,1.0538857695735362,Bayesian,9,723,2.7535070573692994e-07,0.001586177993893308,IncToDec,47,2.0262473417605032e-08,COMPLETE
